ID_event;Sport;Event
24927;Equestrianism;Equestrianism Mixed Four-In-Hand Competition
24974;Athletics;Athletics Men's 2,500 metres Steeplechase
24975;Athletics;Athletics Men's 4,000 metres Steeplechase
25069;Athletics;Athletics Men's 200 metres Hurdles
25281;Athletics;Athletics Men's 4 mile, Team
25610;Sailing;Sailing Mixed 20+ Ton
25622;Shooting;Shooting Men's Dueling Pistol, 30 metres
25647;Shooting;Shooting Men's Dueling Pistol, 30 metres, Team
25734;Equestrianism;Equestrianism Mixed Long Jump
26937;Cycling;Cycling Men's 333 metres Time Trial
26938;Cycling;Cycling Men's 10,000 metres
27098;Swimming;Swimming Men's 1,000 metres Freestyle
27204;Equestrianism;Equestrianism Mixed High Jump
27332;Tennis;Tennis Men's Doubles, Covered Courts
27635;Archery;Archery Men's Sur La Perche a La Pyramide
27917;Archery;Archery Men's Au Chapelet, 50 metres
28007;Archery;Archery Men's Championnat Du Monde
28306;Shooting;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards
28307;Shooting;Shooting Men's Small-Bore Rifle, Moving Target, 25 yards
28981;Swimming;Swimming Women's 300 metres Freestyle
30937;Archery;Archery Men's Au Chapelet, 33 metres
30938;Archery;Archery Men's Au Cordon Dore, 33 metres
31298;Archery;Archery Men's Target Archery, 28 metres, Individual
32105;Archery;Archery Men's Sur La Perche a La Herse
32581;Motorboating;Motorboating Mixed A-Class (Open)
35092;Basque Pelota;Basque Pelota Men's Two-Man Teams With Cesta
44461;Art Competitions;Art Competitions Mixed Literature, Unknown Event
44764;Art Competitions;Art Competitions Mixed Music, Vocals
44838;Cycling;Cycling Men's 1/4 mile
46406;Art Competitions;Art Competitions Mixed Music, Unknown Event
48640;Art Competitions;Art Competitions Mixed Sculpturing, Medals And Plaques
49000;Art Competitions;Art Competitions Mixed Sculpturing, Medals
51379;Art Competitions;Art Competitions Mixed Sculpturing, Reliefs
53879;Figure Skating;Figure Skating Men's Special Figures
62798;Swimming;Swimming Men's 1,200 metres Freestyle
